,Unnamed: 0,RequestNumber-App,FinalDefectType,FinalDefectCount,FinalAmbiguityClassType,FinalAmbiguitySubType,Annotation,TextUsedForAnnotation
10,10,176-Signal,Incompleteness,"{'Ambiguity': 0, 'Incompleteness': 1}",O,O,"[{""category"":""Incompleteness"",""comment"":""Missing information about the backups. "",""question"":""The messages can also be stored on backup tapes or storage files, are you suggesting to deleted the backups using the same timeline?"",""interpretation"":""It is not clear whether the text should also be deleted from the backup storages or not. "",""affectsDownstream"":""Yes"",""affectDescription"":""backup and retition functionalities"",""text"":""N/A"",""start"":0,""end"":0}]","Request Number - 176 | Request Title - Feature: Automatic deletion of old messages | Request Description - In the spirit of https://ssd.eff.org/your-computer/protect/retention having deletion of messages older than a certain amount is probably good practice. I previously used an automated tool to delete SMS messages older than 30 days, but since TextSecure uses its own database, this no longer works. Having the option for TextSecure to delete messages older than X (reuse of the passphrase timeout selector would be fine) would be highly helpful."
11,11,455-Signal,Ambiguity/Incompleteness,"{'Ambiguity': 1, 'Incompleteness': 1}",{'Vagueness': 1},{'Vagueness-N/a': 1},"[{""category"":""Ambiguity"",""label"":""Vagueness"",""subclass"":""N/a"",""comment"":""\""Short\"" is a vague term and cannot be measured."",""question"":""How many characters should be considered for the signature?"",""interpretation"":""100 characters;200 characters; 200 words"",""affectsDownstream"":""Yes"",""affectDescription"":""Design of the functionality and GUI"",""text"":""(short)"",""start"":159,""end"":166},{""category"":""Incompleteness"",""comment"":""Missing information and details about signature creation, adding a signature to the message, or editing and removing signatures from the app. "",""question"":""Do you want to automatically add the signature to all the messages?; Do you want to manually add the signature to specific messages?; How and where do you want to set up a new signature? Would you care to modify or delete a signature after creating it as a new feature? "",""interpretation"":""It is not clear whether the signature should be added to all messages automatically or if the user will manually add it. If the user manually adds the signature, where should this request or functionality be implemented? Further, it is unclear where the user should create a signature and how it can be edited or deleted. "",""affectsDownstream"":""Yes"",""affectDescription"":""GUI design, function designs and implementation, testing"",""text"":""N/A"",""start"":0,""end"":0}]","Request Number - 455 | Request Title - Signature below SMS message | Request Description - Hi, in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.  I use TextSecure for private and secure communication!  do you find this worth implementing?"
12,12,1055-Signal,O,"{'Ambiguity': 0, 'Incompleteness': 0}",O,O,O,"Request Number - 1055 | Request Title - drafts should be marked and moved to top of list  | Request Description - the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft"""
13,13,969-Signal,Incompleteness,"{'Ambiguity': 0, 'Incompleteness': 1}",O,O,"[{""category"":""Incompleteness"",""comment"":""The request does not consider specific requirements for color-blind users. "",""question"":""What happens if the user is color-blind?"",""interpretation"":""It is not clear how this feature can be represented to people who are color-blind. "",""affectsDownstream"":""Yes"",""affectDescription"":""Accessibility"",""text"":""N/A"",""start"":0,""end"":0}]","Request Number - 969 | Request Title - Color incoming messages in groups according to author | Request Description - Since there's so many UX experts around lately, I want to propose this: In groups, I always find it kind of annoying to have to read the name of the sender of a message. Somehow that distracts me from the actual messages. What do you think about this: In a group message, every incoming message is colored based on the author. Basically, we'd need a ""string to RGB"" hash function (shouldn't be that hard) and then color the background of their messages with 20% opacity (or so..) That way, I know that everything that's green is from my Buddy Bob, and everything that's yellow is from Alice, and I can just read the whole conversation without reading the name in front of every single message..."
14,14,1133-Signal,Ambiguity,"{'Ambiguity': 1, 'Incompleteness': 0}",{'Pragmatic': 1},{'Pragmatic-Referential': 1},"[{""category"":""Ambiguity"",""label"":""Pragmatic"",""subclass"":""Referential"",""comment"":""The pronoun \""them\"" can point to multiple concepts in earlier sentences which could result in multiple possible interpretations."",""question"":""When you wrote \""Let us long press them\"", does 'them' refer to 'friends', 'contact keys', or something else?"",""interpretation"":""friends; contact keys"",""affectsDownstream"":""Yes"",""affectDescription"":""Where in the user interface to implement to action"",""text"":""them"",""start"":312,""end"":316}]","Request Number - 1133 | Request Title - Deletion of contact keys | Request Description - Hello moxie, could you please let us delete the contact keys? Several of my friends changed their number or uninstalled TextSecure, I'm not liking to scroll threw their contact keys whenever I check them. Let us long press them for deleting, add a warning and everything would be fine."
15,15,1875-Signal,O,"{'Ambiguity': 0, 'Incompleteness': 0}",O,O,O,"Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )"
16,16,5529-Signal,O,"{'Ambiguity': 0, 'Incompleteness': 0}",O,O,O,"Request Number - 5529 | Request Title - Disable ""Screen security"" by default | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature description. It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have Screen security enabled by default for them. For passphrase users it makes sense. One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting. In #1431 (comment) moxie0 wrote: [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots."
19,19,107-Mastodon,Incompleteness,"{'Ambiguity': 0, 'Incompleteness': 1}",O,O,"[{""category"":""Incompleteness"",""comment"":""The feature request does not describe the method by which the request should be implemented."",""question"":""How should image descriptions be accessible to users that can view the image? For example, should it be visible on long press, tap, a text box beneath the image, or something else?"",""interpretation"":""How should image descriptions be accessible to users that can view the image?"",""affectsDownstream"":""Yes"",""affectDescription"":""The method of implementation"",""text"":""N/A"",""start"":0,""end"":0}]","Request Number - 107 | Request Title - Can't view image descriptions | Request Description - I know a screen reader can still read them, but it's important to me to see if there IS a description so I know if I can boost these posts to my disabled followers"
21,21,6468-Signal,Ambiguity,"{'Ambiguity': 1, 'Incompleteness': 0}",{'Vagueness': 1},{'Vagueness-N/a': 1},"[{""category"":""Ambiguity"",""label"":""Vagueness"",""subclass"":""N/a"",""comment"":""'Recently' is a vague term that cannot be empirically measured. "",""question"":""When you wrote 'recently', can you give a more specific time frame of when this issue took place? Such as a day and time?"",""interpretation"":""a few minutes ago; a few hours ago; a few days ago; a few weeks ago"",""affectsDownstream"":""Yes"",""affectDescription"":""Knowing the actual time of the error might allow a developer to compare the time of the error to regional server status to confirm the reason for the error."",""text"":""Recently"",""start"":270,""end"":278}]","Request Number - 6468 | Request Title - Iran Censored Signal Again! | Request Description - Hi AFAIK In This Issue #5992 Iran Censored Signal and It Seems Problem Solved Here #6006 As We Can See In This Link : elliptic1@ af0ff7d But I Installed v 4.1.0 From Google Play Recently And When Try To Enter My Phone Number and Receive Message The App Shows Me ""Signal Was Unable To Connect To The Server"". The Problem Solved When I Used L2PT VPN USA Country. This Mean Unfortunately Iran Censored Signal Again So Please Solve This Issue Again. Thanks In Advance"
22,22,1692-Signal,Ambiguity,"{'Ambiguity': 2, 'Incompleteness': 0}",{'Lexical': 2},{'Lexical-Polysemy': 2},"[{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The word 'should' has multiple meanings, creating two interpretations based on which is used."",""question"":""When you wrote \""should be saved\"", did you mean \""is likely already saved\"", \""is recommended to be saved\"", or something else?"",""interpretation"":""is likely to; is recommended to"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""should"",""start"":231,""end"":237}, {""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""\""done date\"" can have various meanings in the text. "",""question"":""What do you mean by \""done date\""?"",""interpretation"":""received date;read date; done date;"",""affectsDownstream"":""Yes"",""affectDescription"":""Design and implementation of algorithms"",""text"":""the done date )"",""start"":215,""end"":230}]","Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))"
23,23,276-Signal,Ambiguity/Incompleteness,"{'Ambiguity': 3, 'Incompleteness': 1}","{'Pragmatic': 2, 'Syntactic': 1}","{'Pragmatic-Referential': 2, 'Syntactic-Elliptical': 1}","[{""category"":""Ambiguity"",""label"":""Pragmatic"",""subclass"":""Referential"",""comment"":""The pronoun 'it' doesn't point to anything in the sentence and creates ambiguity in assuming what the author intended."",""question"":""When you write \""it says Saving attachment\"", is 'it' referring to the application, the device's operating system, or something else?"",""interpretation"":""the app; the phone firmware"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""it"",""start"":534,""end"":536},{""category"":""Incompleteness"",""comment"":""It is unclear whether the author is making an implicit feature request in addition to their request for information."",""question"":""Is there a feature request associated with this post? Are you requesting the addition of a link to the saved location, a confirmation dialogue stating where an attachment was saved, or something else? Or is a reply with help locating saved files all you're requesting?"",""interpretation"":""No proposed feature or solution is presented"",""affectsDownstream"":""Yes"",""affectDescription"":""It is unclear whether a feature request is being implied"",""text"":""N/A"",""start"":0,""end"":0},{""category"":""Ambiguity"",""label"":""Syntactic"",""subclass"":""Elliptical"",""comment"":""A word qualifying the origin of the source code was omitted for brevity, creating multiple possible meanings."",""question"":""When you say you \""looked at the source code\"", do you mean the application's source code, the phone's operating system source code, or something else?"",""interpretation"":""the application's source code; the operating system's source code"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""the source code;"",""start"":766,""end"":782}, {""category"":""Ambiguity"",""label"":""Pragmatic"",""subclass"":""Referential"",""comment"":""\""it\"" refers to various nouns from the previous sentences. "",""question"":""What are you referring to when you use \""it\"" in the following sentence \""it then takes maybe ...\""?"",""interpretation"":""TextSecure app; image"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""it"",""start"":494,""end"":496}]","Request Number - 276 | Request Title - Saving Attachments - where do they go? | Request Description - This is hopefully a daft question, but I can't find the answer anywhere. I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail). I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them. Any idea where attachments end up? (If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2)."
24,24,5555-Signal,O,"{'Ambiguity': 0, 'Incompleteness': 0}",O,O,O,Request Number - 5555 | Request Title - Partial message copying feature request | Request Description - Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form. See #2845
25,25,5874-Signal,O,"{'Ambiguity': 0, 'Incompleteness': 0}",O,O,O,"Request Number - 5874 | Request Title - Allow saving multiple images in a conversation | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Feature Request. There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented. I am asking for multi-select images in a conversation and then save them. Steps to reproduce.  go to a conversation long press a picture message tap a second/third/... picture message Actual result: No save button is shown. Expected result: A save button should be shown and allow to save the selected images."
26,26,604-Signal,Ambiguity,"{'Ambiguity': 5, 'Incompleteness': 0}","{'Lexical': 4, 'Semantic': 1}","{'Lexical-Polysemy': 4, 'Semantic-Referential': 1}","[{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The word 'push' can be a technical term with a different meaning than its literal definition, creating multiple possible interpretations."",""question"":""When you discuss 'push messaging', is 'push' being used as a technical term or the literal word push?"",""interpretation"":""technical term for server-based notification; persuade; force"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""push"",""start"":64,""end"":68},{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The word 'push' can be a technical term with a different meaning than its literal definition, creating multiple possible interpretations."",""question"":""When discussing 'the new push based TextSecure', is 'push' being used as a technical term, to persuade, to force, or something else?"",""interpretation"":""technical term for server-based notification; persuade; force"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""push"",""start"":143,""end"":147},{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The word 'like' is being used as slang or anthropomorphizing the app in place of the actual behavior, creating multiple possibly interpretations to the meaning."",""question"":""When you say \""TextSecure doesn't seem to like using Google Voice numbers\"", do you mean \""TextSecure doesn't seem capable of using Google Voice numbers\"", \""TextSecure doesn't seem reliable at using Google Voice numbers\"", \""TextSecure doesn't seem to permit using Google Voice numbers\"", or something else?"",""interpretation"":""permit; be capable of; be reliable at"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""like"",""start"":181,""end"":185},{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The word 'catch' has multiple definitions that fit this sentence, which creates multiple possible interpretations."",""question"":""When you wrote \""TextSecure doesn't catch it\"", do you mean \""TextSecure doesn't observe it\"", \""TextSecure doesn't intercept it\"", or something else?"",""interpretation"":""observe; intercept"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""catch"",""start"":762,""end"":767},{""category"":""Ambiguity"",""label"":""Semantic"",""subclass"":""Referential"",""comment"":""The pronoun 'it' can refer to two different targets in the sentence, changing the nature of the problem based on the interpretation."",""question"":""When you wrote \""TextSecure doesn't catch it\"", do you mean \""TextSecure doesn't catch the message\"", \""TextSecure doesn't catch the verification code\"", or something else?"",""interpretation"":""text message; verification code"",""affectsDownstream"":""Yes"",""affectDescription"":""Determines if the issue is observing the event or parsing the event"",""text"":""it."",""start"":768,""end"":771}]","Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work."
27,27,801-Signal,Ambiguity/Incompleteness,"{'Ambiguity': 2, 'Incompleteness': 1}","{'Semantic': 1, 'Lexical': 1}","{'Semantic-Scope': 1, 'Lexical-Polysemy': 1}","[{""category"":""Ambiguity"",""label"":""Semantic"",""subclass"":""Scope"",""comment"":""The word \""any\"" can have a specific or non-specific meaning, affecting the scope implied by the term and creating multiple possible meanings."",""question"":""When you wrote \""any user\"", do you mean \""a selected user\"", \""all applicable users\"", or something else?"",""interpretation"":""a selected; all applicable"",""affectsDownstream"":""Yes"",""affectDescription"":""Affects whether the implementation is focused on by-user/group notifications or the application as a whole"",""text"":""any"",""start"":71,""end"":74},{""category"":""Ambiguity"",""label"":""Lexical"",""subclass"":""Polysemy"",""comment"":""The term 'friends' can be a technical term that categorizes other users or could be used as its literal definition, which creates multiple possible interpretations."",""question"":""When you mention 'friends', do you mean 'users on a friends list', personal associates, or something else?"",""interpretation"":""a technical term for other users on a contact list; associates"",""affectsDownstream"":""No"",""affectDescription"":"""",""text"":""friends"",""start"":115,""end"":122},{""category"":""Incompleteness"",""comment"":""The scope of muting, the behavior when muted, and other expectations required to implement the requested feature aren't provided in the text."",""question"":""Where in the interface should this feature be accessed?; Should a new view be created to allow specifying the number of minutes, or should there be a default value(s)?; Is this mute intended to be universal to all notifications or does it need to be activated on a by-user/group basis?; What behavior should occur at the end of the mute period?; Should muting block the receipt of messages or just notifications?"",""interpretation"":""Where in the interface should this feature be accessed?; Should a new view be created to allow specifying the number of minutes, or should there be a default value(s)?; Is this mute intended to be universal to all notifications or does it need to be activated on a by-user/group basis?; What behavior should occur at the end of the mute period?; Should muting block the receipt of messages or just notifications?"",""affectsDownstream"":""Yes"",""affectDescription"":""Expectations for the implementation or behavior of the feature aren't provided."",""text"":""N/A"",""start"":0,""end"":0}]","Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome."
