SN,App ,Request Number ,Request Title,Request Description ,No of Comments,Comments ,Has questions?,Clear?,Questions Mentioned?,Does the question help for defect?,Notes,Does the discussion help to clarify ,Closed reason?
11,Signal,1173,"Add ""Don't show again"" checkbox to thumbnail dialogs","To improve the usability, the thumbnail dialogs (open and save) should contain a ""Don't show again"" checkbox so that the user isn't bothered again.

The idea is, that the user understands that there might be a little risk in opening or saving an attached image, but doesn't want to see this warning again and again.

Most users expect that the image instantly shows up. So it is nice to have this warning message, but there should be the possibility to disable it.",8,"

In my pull request for Feature 520, ive done the same. Maybe you can use that code.


Ok, I hadn't noticed that issue #520 and corresponding pull request #932 are covering that. I think mcginty's statement about major changes in media / attachment handling is also important.

Probably it's best to wait until your or other's changes get merged. That may change a lot.


No, I might have expressed myself unclear, the pull request merely does the
same 'dont show again' stuff, but for another topic (taking attachments,
not storing them).
But I too think it would be best to wait and see what @mcginty decides on
how things change.


We're trying to eliminate this phenomenon all together in the media branch.


+1
@Moxie0 should I close my PR then?


@moxie0 after reading through a handful of tickets a realized that there are multiple references to that media branch. What is the current status of that branch? I think many people (like me) are missing convenient media features and features like this one (permanently dismiss the warning or make it configurable).


I guess this can be closed as https://github.com/WhisperSystems/TextSecure/pull/1826 is in now?


Indeed it can. The latest version of TextSecure has an integrated media viewer. No more pop-up!",No,Requester was an option to close the pop up window that opens when opening an image or attachement ,N/a,N/a,The change implemented,No,Implemented
12,Signal,2098,Automatically resend undelivered messages,"Since the delivery confirmation functionality has been implemented, I sent 48 messages. For 3 of these, I did not get a confirmation that they have been delivered.

It would be nice if messages are automatically resent if no delivery confirmation is received. Especially, if later messages to the same recipient do get a delivery confirmation, indicating that the recipient is reachable again.",14,"

I think you're missing the point.
The app shouldn't resend messages that are not delivered. Messages should ALWAYS be delivered (if the recipient is online of course), period. What I don't get is why messages stopped being delivered since they introduced delivery receipts. THAT'S the bug for how I see it.


The question is in which way the delivery receipts are implemented. Maybe just the delivery receipts are lost or not send for some reasons. Maybe @moxie0 can assist wtih some clarification here.


@manhole11 true, messages should always be delivered. It's merely that since the delivery confirmation it becomes clear that this is apparently not always the case.
@Dave1704 I will try to verify with the recipient if the messages did arrive, and if only the delivery receipts were lost.


@Dave1704  I checked with the recipient. I could only check for two unconfirmed messages because the rest was already deleted. These two messages did arrive, but I did not get the confirmation. So it looks like that the confirmations get lost.


It's good to know which messages are lost. But I can't really do something about it. I'm no developer here. I just check the issues and try to assist as much as I'm able to.


I'm having similar problems, but for me sometimes the original message does not delivered, so it is not just confirmations that don't arrive


The original message and its receipt use the same transmission channel (both are just ""messages"" on the GCM service), and since this channel is prone to data loss, either message could be lost and the message would be shown ""unconfirmed"" to the sender. In practice, one could assume half the unconfirmed messages would be lost.

@manhole11, while it may be worthwhile to improve reliability between the intermediate server (e.g. GCM) and the receiver, full reliability can only be achieved end-to-end, which means there must be a retransmission mechanism that is triggered by the sender's TextSecure application. After all, the message may even be lost before it reaches the GCM.


""..and since this channel is prone to data loss.."" this is true for any channel, however this problem happens only when using textsecure. All my other applications work just fine.
I don't think it's a problem with the channel...


@manhole11, do you have a specific other application in mind that uses GCM and does not exhibit this problem? Do you know whether they have implemented retransmissions themselves?


I don't know which other apps I have use GCM, the only thing I know is that textsecure is the only one having so many problems and I'll ditch it as soon as hemlis will be released. If GCM is the problem, then use something else. I mean, it's a problem of the developers. I don't care that much; all I care about is having an app that works and hemlis works :)


Copying my issue description from #2293:

> Currently message delivery is unreliable. It often happens that I send a message to someone, but do not get a message receipt (check-mark icon). Messages sent later get a receipt. When I talk to the person a few hours later, they tell me they did not receive the message.
>
> This issue is not limited to me sending, but also happens the other way around. It also happens for other people, as I have been told. It also happens for the message receipts themselves ‚Äì sometimes a message arrives on my phone, but the sender never receives the receipt. The CyanogenMod integrated WhisperPush service is not involved. The issue happens between stock Android users, as well as with CyanogenMod users.
>
> From reading other issues I understand that GCM does not offer reliable delivery. I wonder if the equivalent of [XEP-0198 section 4 ""Acks""](http://xmpp.org/extensions/xep-0198.html#acking) could be implemented on top of it in TextSecure.
>
> Possible duplicates: #679, #970, #1971, #2098, #2238


After some more investigation, I discovered that TextSecure at the recipients end crashes quite often while the app is in the background or the phone is suspend mode (see #2037). So in my case GCM is not the culprit.
However, I made also the observation that messages sent to the user where TextSecure stopped working do not arrive anymore when TextSecure is started again. I would expect that GCM would still try to deliver them.
However, whatever the cause of delivery problems is, GCM or TextSecure itself, it still would be great if additional attempts are made to resend the message until its delivery is confirmed. And yes, I understand that TextSecure cannot keep trying into eternity.


on second thought closing as dupe of #2015


@rhodey: I'm not convinced that this is a dupe of #2015. This issue is not about the unavailability of a data connection, but about the fact that a message confirmation never arrives. The absence of a message delivery notification indicates that the message could not have reached the recipient.",No,Requester wants the unsent messages to be sent again when the recipient is reachable again.,N/a,N/a,This is more of a bug report than a feature request. The bug is related to the message transmission through the network. ,Yes,Clean up*
13,Signal,4031,Cancel media download ,"Add option to cancel running media downloads
Once we go large media this is really needed",5,"

I'd add an option to cancel running media transmission, too :wink:


I can solve this issue. What i need to do to help in this project?


@jodson i'd recommend starting off with something smaller to get used to the codebase. check out the ""easy"" tagged issues.


Ok. Is it just start coding and then commit? Or need some discussion about that ""easy"" tagged issues?


GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to cancel running downloads ,N/a,N/a,The request was closed as part of Signals clean up ,No,Clean up*
14,Signal,4333,allow direct sharing to contacts via 6.0 ChooserTargetService,https://developer.android.com/reference/android/service/chooser/ChooserTargetService.html,6,"

Hi - I really miss this feature from Signal - if I were to implement it and create a PR, would it be accepted?


Please refrain posting ""+1"" ""me too"" ""I would a love this feature"" ""same"" etc. as a comment without any NEW or actionable information.  The emoji in the comment header allows you to ""add your reaction"" if you want to express your interest in the feature/comment.

What is the status of this issue (feature request)? I checked the most recent pull requests and it doesn't seem someone is working on it. Does it need approval before anyone can work on it and submit a PR? @emmaguy asked the question but no one answered. I wouldn't mind working on a PR for this feature.

@cavega I think you can always work on a PR.  Mainly it would probably depend on if @moxie0 feels there are any security issues with this direction or if it's valuable.  My $0.02 is that it would be pretty handy.

@jeremymasters Thanks for the response.



This feature doesn't expose any app information. It would still use the existing Intent mechanism that current allows to send content from 3rd party apps into Signal.  Its primary usage would be to share info from 3rd party apps into the Signal app by bypassing 1 UX interaction.



Instead of:



- Click share from 3rd party app

- Select Signal app from options

- Select desired contact



It becomes:



- Click share from 3rd party app

- Select desired Signal contact (Note: Some of the most recent Signal contacts become available, but user can still select Signal app, through existing flow, to pick other contact to send data to).



@cavega In that case a PR would definitely be received favourably. Make sure you tag someone to review it so that it doesn't go unnoticed.",No,Requester wants to allow direct sharing of contacts ,N/a,N/a,Discussion about wether a PR has been assigned or not ,No,Implemented
15,Signal,5476,"Send using ""Enter"" Key on Hardware Keybaord","Feature request: when using an external USB keyboard with my device on Signal, make it possible to send messages using either:
- <kbd>Enter</kbd>
- <kbd>Ctrl</kbd>+<kbd>Enter</kbd>
- <kbd>Shift</kbd>+<kbd>Enter</kbd>

If desired to send on plain <kbd>Enter</kbd>, <kbd>Shift</kbd>+<kbd>Enter</kbd> should enter a newline.",8,"

What happens when you change the setting **Enter key sends** in **Advanced settings**?
See #2374


@2-4601 to be honest I haven't tried that yet, though I'd prefer it be a separate setting for strictly hardware keyboards only. With a hardware keyboard, it's easy enough to use <kbd>Shift</kbd>+<kbd>Space</kbd> to force a newline and have <kbd>Enter</kbd> send by default. On a software keyboard, not so much. If the enter key on a software keyboard sends by default, how would one insert a newline if needed?


Thanks but we're not going to do this


Would you reconsider this request? There needs to be a way to insert newlines and submit the message independently, regardless of the specific configuration of each. With the ""Enter to send"" option ON or OFF, there is still not a way to independently control each of these actions without constantly toggling the option.



It's very annoying to have to remove my hands from my bluetooth keyboard to hit the Send button. I much prefer to hit CTRL+Enter to send, and press ENTER to get a newline.

Yeah, just came across this since I love to type messages using my bluetooth keyboard switching easily between devices.



A CTRL-Enter to send would be perfect! So I second this request!!!



Thx a lot for considering this!

Control Enter or Shift Enter is standard in other applications that allow both multi-line messages and external keyboards. Would y'all please reconsider?

If you're using the Samsung Smart KBD Trio 500 to type text messages you have to press **Alt+Enter** to send the message within the phone messaging app. I don't know if this works for all texting/messaging platforms but this does work with the default Samsung phone keyboard in the Samsung messages app. This may work on other Bluetooth keyboards as well so I thought it was worth sharing.

Don't expect much since this was closed, but I'll still comment just in case it helps it get revisited. Thank yall for the app.",Yes,Requester wants the ability to send messages with certain shortcut keys,What happens when you change the setting Enter key sends in Advanced settings?; ,N/a,The owner closed the request without reason,No,Closed for no reason
16,Signal ,176,Feature: Automatic deletion of old messages,"In the spirit of https://ssd.eff.org/your-computer/protect/retention having deletion of messages older than a certain amount is probably good practice. I previously used an automated tool to delete SMS messages older than 30 days, but since TextSecure uses its own database, this no longer works.

Having the option for TextSecure to delete messages older than X (reuse of the passphrase timeout selector would be fine) would be highly helpful.",3,"

I'm going to try to see if I can hack together some code to do this, watch this space.


Are you going to work on this again, or are you happy with the message-based approach we have now instead of the time-based one? If you are not going to pursue or ask for it further, can you please close the ticket? Thanks!


Settings > Delete old messages > _check box_",No,Requester wants to have an option to delete older messages that are x amount old,N/a,N/a,Implemented and closed. No details about the implementation. ,No,Implemented
17,Signal ,455,Signature below SMS message,"Hi,
in oder to advertise TextSecure to my friends I'd like to add a (short) signature. E.g.

---

I use TextSecure for private and secure communication!

---

do you find this worth implementing?",5,"

I would like to see this feature so I can promote TextSecure.

I would like to be able to share such signature just as I would hare an emoji or attachments.
For example: Button Press > [I'm given the option to insert a pre-confirgured message OR my own pre-configured message with a hard-set pre-configured link to the TextSecure play store page.

I wouldn't like to be forced between including & not including the promotional signature with all unencrypted messages.  In other words, a simplified way to share the TextSecure play.store page link from within TextSecure rather than having to: Go to Play Store > TextSecure Page > Share > Fine App {TextSecure]


I think the 160 characters of a sms is a bit short to include a signature. Besides I personally find annoying to see signatures longer than the message itself, I kind of hate the 'send from my iphone' signature.

If this gets included I think this should be disabled by default.


Apparently some industries require every outgoing message to contain a signature. Realtors in California, for example, must attach their name, company name, and phone number to every SMS they send. This recently came through as a request to the Support Center, so I'm passing it along here.

I definitely agree that it should be disabled by default, but giving users the ability to customize a signature would be a nice feature.


+1 for disabled by default. We can just give people the possibility to add a signature and the default signature when activated is some short TS promotion slogan.


GitHub Issue Cleanup:
See #7598 for more information.",No,"Requester wants option to add textsecure signature ""sent from text secure"" or something similar to promote text secure",N/a,N/a,Issues marked for clean up - no mention of implementation - details of the implementation about making it not default discussed.,No,Clean up*
18,Signal ,1055,drafts should be marked and moved to top of list,"the message drafts should be automatically moved to the top of the message-list and be marked somehow, i.e. get another color or a text ""Draft""",4,"

I totally second this.
Though i would not need it to be moved to the top.

I often get disturbed when writing which leads to drafts I forget to send. How would i now if not marked somehow?

If not show it by a text or a symbol, how about showing the text in conversation list and change the font style to italic (red color would also work, except for color blind people i guess!)?


+1


absolutely!! but definitely move the draft threads to the TOP of the list as if they were just sent from.

i start to write a message then i need to leave the app for a second and it saves a draft but it does not move the thread with that draft to the top of the list so when i come back to finish my draft i have to scroll down to find the thread. this is very tedious.


Yes, I would like this too. I think I could figure out how to add this, but do the maintainers agree that it should be?",Yes,Requester wants to make message drafts to the top of the list and marked as draft,"How would i now if not marked somehow?; If not show it by a text or a symbol, how about showing the text in conversation list and change the font style to italic (red color would also work, except for color blind people i guess!)?",Yes,Good request with implementation and accessibility discussed ,Yes ,Implemented
19,Signal ,969,Color incoming messages in groups according to author,"Since there's so many UX experts around lately, I want to propose this:

In groups, I always find it kind of annoying to have to read the name of the sender of a message. Somehow that distracts me from the actual messages. What do you think about this: In a group message, every incoming message is colored based on the author. Basically, we'd need a ""string to RGB"" hash function (shouldn't be that hard) and then color the background of their messages with 20% opacity (or so..)

That way, I know that everything that's green is from my Buddy Bob, and everything that's yellow is from Alice, and I can just read the whole conversation without reading the name in front of every single message...",9,"

Now that I think about it, another idea: Don't color the messages but the avatars. Obviously, this issue does not arise with people who have profile pictures. So if they don't, they have an avatar. We could just uniquely color that avatar instead of the whole message, if that would be too much color...


+1 to coloring the avatars!

Btw, telegram does so too.


@tinloaf: yes, coloring the avatars is a good idea. But I wouldn't just try to ""randomly"" generate a color.
You don't want to insert random colors, that'd look horrible. But we can have a rather big preset, from which each contact gets one permanently as soon as he joyns his first group.

The colors should of course also be user-selectable. And for real power-users a color picker would be useful.


I think something similar to how gmail does avatar coloring (with our without the massive letter) would be in order. It'd be something simple and uncomplicated to both break the monotony of the same image being repeated many places, and adding distinction and uniqueness for each contact.


I don't have gmail, but if it's anything like K-9 mail, I know what you mean. Yeah, I like that idea, I just did not yet come up with a good color-selection-idea. I'm afraid that @lindworm is correct in that choosing the colors ""randomly"" (by hashing the contact) results in ugly colors. Perhaps I should have a look at how K-9 does it.

**Update**: Do you think it's neccessary that the colors stay the same across multiple groups? I.e. that Jon Doe is always yellow? Otherwise, we could just assign a relatively small palette (20 colors or so) and map the list of participants to it...


I build this, have a look at #1027. There I use a solution that determines the color based on the contact's name, so it should be consistent across multiple group chats. We could use some more colors though, I guess.


@tinloaf nice, is it also possible to  set the colors manually? I fear that's going to be the first thing they cry for..nobody wants to be cyan ;-)


Well, no.. this would mean we actually have to store something somewhere, and that's always messy (you have to have a Database, write some database wrapping code, code for setting the data manually...) I honestly don't think that the complexity this would add would be justified by ""my friend Alice doesn't want to be green."" ;)


@tinloaf I really fear that's going to be an issue. Not for me, but for the average user. People love to custimize their stuff, and many are quiet emotional regarding colors. Have you ever been able to play a game of Ludo (""Mensch ?§rgere dich nicht"" in German) without fighting who gets to be red and blue? ;-)",No,Requester wants to differentiate the messages based on users with colors ,N/a,N/a,Requester implements it to ,No,Implemented
20,Signal ,1133,Deletion of contact keys,"Hello moxie,

could you please let us delete the contact keys?

Several of my friends changed their number or uninstalled TextSecure, I'm not liking to scroll threw their contact keys whenever I check them.
Let us long press them for deleting, add a warning and everything would be fine.",4,"

This is a duplicate of #682...


@Waboru There are ~500 open issues here now. We've got a lot to do. The best way to help is by commenting on other issues in order to get them resolved, doing research into possible solutions, finding and closing duplicates, answering common questions, or even submitting PRs.  What _doesn't_ help is posting the same comment twice in a row, which just generates more email for all of us to read when we're already overwhelmed with it.


I'm sorry, I reposted it because the other issue was closed. So I thought you won't think about adding this feature anymore.
Won't happen again, sorry!

Could you please tell me if it's planned?

Thanks a lot for your great work moxie. :)


Closing as duplicate of #682 (plus obsolete features)",No,Requester wants to be able to delete contact keys.,N/a,N/a,Request is a duplicate and the respository manager asks to reduce duplicate requests,No,Duplicate Feature
21,Signal ,1875,Import backup: Please tell me how old the backup is I am going to import ,"I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import.

(I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631)",4,"

Shouting out to @mcginty as I believe she is/was working on the backup thing.


Sounds like a good idea to me. Btw: mcginty is a he ;)


Ah, thx!


GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to see the backup details,N/a,N/a,Someone is working on the request and put for github clean up,No,Bug report 
22,Signal ,5529,"Disable ""Screen security"" by default","I have:
- [x] searched open and closed issues for duplicates
- [x] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports

---
### Feature description

It's quite common to see non-passphrase users wonder why screenshots in Signal don't work. It probably doesn't make sense to have **Screen security** enabled by default for them.
For passphrase users it makes sense.

One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting.

> In https://github.com/WhisperSystems/Signal-Android/issues/1431#issuecomment-41502999 moxie0 wrote:
> [The Screen security feature i]s not designed to prevent screenshots, it's designed to notify the task manager that it shouldn't cache screenshots of conversations. The side effect is that it prevents screenshots.",5,"

Disabling it by default may be a good idea. But why the distinction between people using a passphrase and people who don't? I imagine that if the _Screen security_ setting changes automagically when people change the passphrase setting, this could create additional confusion.


> One option would be to remove the feature completely from settings and make it an implicit feature which depends on the passphrase setting.

That would making screenshots in case of issues complicated. Changing the default might work, but removing the option completely seems a bit overdone to me.


I'm fine with disabling it by default.


> But why the distinction between people using a passphrase and people who don't?

Just thought that a passphrase user would not expect to see a screenshot of a conversation in the recents list after they have locked the app.

But I guess it's true that disabling the _Screen security_ for all users by default is the most straightforward way.


Was handled in

* ba849bce2c90287e820a3008e9dc9a1b14de19fc

* 5270dad78966f67c51d9aaa2a6747cf4f0259eba",Yes,Requester wants to disable screen security by default,Disabling it by default may be a good idea. But why the distinction between people using a passphrase and people who don't?,Yes,Clear conversaition - goal oriented ,Yes ,Implemented
23,Signal ,6468,Iran Censored Signal Again!,"Hi AFAIK In This Issue #5992 Iran Censored Signal and It Seems Problem Solved Here #6006

As We Can See In This Link :

https://github.com/elliptic1/Signal-Android/commit/af0ff7d7618425d8aa63da98ab474ccd47dae387

But I Installed v 4.1.0 From Google Play Recently And When Try To Enter My Phone Number and Receive Message The App Shows Me ""Signal Was Unable To Connect To The Server"".

The Problem Solved When I Used L2PT VPN USA Country.

This Mean Unfortunately Iran Censored Signal Again So Please Solve This Issue Again.

Thanks In Advance",6,"

From what I understood from the discussion then, Google blocks the domain fronting functionality from Iranian IP's.

@johanw666

How About Other Websites That Provide Domain Fronting?

I Searched Recently and It Seems Other Sites Also Provide This Service Like Akamai , Amazon and etc.

Of course Amazon is Already Censored In Iran! Anyway Iranian People Need This Messenger Specially When The Presidental Election Is Near About Next 1-2 Months .BTW Must be a Solution! For This Issue!

Thanks In Advance

Regards

AFAIK OWS  would have to make an agreement with one of the other services that offer domain fronting, and then code it in the app. I don't know how fast the first issue can be completed (putting it in the app is then trivial).

Same issue.

It's not about making agreements. OWS could switch to other providers like Amazon or Azure and that would fix this issue for millions of Iranians trying to get online.

GitHub Issue Cleanup:
See #7598 for more information.",Yes,Requester wants to allow signal in foreign country - blocked in iran - needs fix,How About Other Websites That Provide Domain Fronting?,Maybe,Geo location example - location restriction ,Yes ,Closed for no reason
24,Signal ,1692,sms delivery report: show received time in message details,"when a sms delivery report is received, the time the other user received the message (afaik the `done date`) should be saved and it should be possible to view it in message details. This way one could see **when** the other user received the message (not only that is was received).

edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",12,"

That sounds reasonable, but since the receipt code is going to change a lot over the next days (moxie is bringing receipts to the push messages, see according pull request), it's probably not wise to start messing with it now. ;) Would be reasonable to implement this while being at it...


+1, this is a useful feature of the default SMS application.


I'd expand a bit: it is usually required to register
- creation time (when the message was written)
- send time (since push can hold message pending for extended periods when there's no net connection)
- receipt time (since it's usually different from both above eg. the SMS provider hold delivery pending)

In my daily experience this information is necessary to be able to know what happened (post mortem), and can help preventing heated debates about when the message was written, sent or received. :-)


related #2055


Not sure if this is the right issue, because it's about showing a time. The code for showing a double check mark seems to be there. Commenting out three lines shows the icon. (See: SmsSendJob.java:139 )

Though I guess for a proper implementation a preference options should be created.

Is there a conclusion on the security aspects mentioned in #2255?
Would it be enough to warn the user of the possibility the SMS delivery report could be forged?
How is #2055 related?


+1 Any news to this?
Stock messaging app provides confirmation times, but since outgoing messages are not listed there when Signal is the standard messaging app, that doesn't help.

The forgery argument is moot. AFAIK, the entire SMS protocol is forgeable, including authenticity, content, sent time, delivery status, delivery time. If we decide to use it nevertheless (and we might want to warn the user about the risk), there's no reason to conceal SMS delivery times.

Please, provide delivery confirmation times within Signal.


@GfEW Please don't post things like ""+1"" in issues, it'll only make us less likely to work on it.


Thanks, got it. Main point is about forgery. I'll omit the '+1' primer in the future.


@moxie0 Without the intention of lessening the probability of anyone's working on this issue, would it be possible to actually record and show all the time data Signal was made to be aware of? At least the receive time of a delivery report is pretty obvious, and it's handled by the code putting the second tick on the messages, so it seems to be only a question to store it in the database, and show it when asked. (I don't have the possible content of the delivery report handy so I cannot tell whether it contains the real delivery time, too. If it would do then it should be recorded, too.)



I hope asking about biannually isn't too rapid, considering the complexity of the problem, which is probably close to ""trivial"", and the age of the issue, which is almost 3 years now. (And I accept the blame for not taking the time to familiarise with java and doing it by myself.)



+1

+1, I'm really surprised that signal is missing sth so simple and yet so useful as plain text message delivery notifications :(

please add it :)

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to see the message received time in the conversation ,-,-,Marked as Bug,No,Clean up*
25,Signal ,276,Saving Attachments - where do they go?,"This is hopefully a daft question, but I can't find the answer anywhere.

I've received a nice picture via MMS into TextSecure 0.9.9.7. It looks okay in the message thread, and clicking it gives me the warning about needing to decrypt it, but then it loads perfectly into my image viewer. If I tap+hold the image, I'm then warned about needing to decrypt it to put it on the external SD card, it then takes maybe half a second while it says ""Saving attachment..."", and then ""Success"" flashes up. Despite all of this, I can't find the attachment anywhere on my phone :-( (I've used ES File Explorer to search for various filenames, but to no avail).

I had a look in the source code; it looks like it's saving to Environment.getExternalStorageDirectory(), but none of the obvious locations seem to have the picture in them.

Any idea where attachments end up?

(If it matters, I'm using a Samsung Galaxy S2 GT-I9100 running Jellybean 4.1.2).",5,"

Does anyone have an answer for this? It's sort of an important feature to download images from your text messaging app!


After mounting my Nexus One as a USB storage device my saved TextSecure attachments showed up in /Pictures. The files names of the images are formatted as such: textsecure-xxxxxxxxxx.attach where x's are integers.

Some newer Android devices have done away with emulating a USB drive (Nexus 4 & 7) and instead want to communicate by Media Transfer Protocol. Depending on what you're using for an MTP client you may only see a smaller subset of the actual files and directories available on your SD card. When mounting my Nexus 7 on Chrubuntu I do get access to the /Pictures directory, however because it's a tablet I can't verify that TextSecure attachments also show up there like they do on my primitive Nexus One.

Please let me know if the above works for you :)


Ah ha! On my Galaxy S2, they do indeed end up in sdcard/Pictures (alongside things like the Download and Music directories on the internal Flash). The thing is that they are saved as you say as ""textsecure-xxxx.attach"", which means that nothing realises they're images (or other file types, I guess). I used ES File Explorer to batch rename the .attach files to .jpg and they're all there and working.

Since TextSecure knows the attachments are images (because it's able to render them in the message), is there a way it could save them as .attach.jpg or something?


73b1e3f3d4db4ed390d4a0fee85c936603ea17cd


Thanks @rhodey ... downloading ES File Viewer and mounting my Galaxy Note2 through USB worked for me! The textSecure pics were in their own prenamed folder 'Pictures'.",No,Requester wants to know how save attachment work in textsecure,No,N/a,User is explained how it works - no request,Yes ,Clarified
26,Signal ,5555,Partial message copying feature request,"Copying partial text from a message would be nice. I.e. when receiving long validation tokens/one-time passwords to be entered in some web form.

See #2845",6,"

I agree that this would be an awesome feature.


It is nice Signal allows to take an action on a phone number (if it is recognised, though), but copying part of the message would still be great.

This is the single biggest draw AWAY from Signal for me. Someone texts me an address or email, and I can't easily copy it? Irritating.

@joelbarker2011 Do you have an example of an app that you feel does this well? Hangouts, Messenger, and WhatsApp all work the same way as far as I can see. Is there are UX interaction that I'm missing?

I just checked my old text messaging app (Android default) and Google
Voice: neither allows partial message copying (to my great surprise). Both
(like Signal) allow tapping a phone number/email address/web address to
call/email/browse.

This would still be a neat feature, but I withdraw my implied criticism.
(Thanks for calling me out.)

Joel

Via phone

On Feb 11, 2017 9:10 PM, ""Moxie Marlinspike"" <notifications@github.com>
wrote:

> @joelbarker2011 <https://github.com/joelbarker2011> Do you have an
> example of an app that you feel does this well? Hangouts, Messenger, and
> WhatsApp all work the same way as far as I can see. Is there are UX
> interaction that I'm missing?
>
> ‚Äî
> You are receiving this because you were mentioned.
> Reply to this email directly, view it on GitHub
> <https://github.com/WhisperSystems/Signal-Android/issues/5555#issuecomment-279197418>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AA_-Zc6PqWpezk6Q9NZAb4xvNmQAtrQuks5rbpRZgaJpZM4I_FiZ>
> .
>


GitHub Issue Cleanup:
See #7598 for more information.",Yes,Requester wants to copy partial text from texts,"@joelbarker2011 Do you have an example of an app that you feel does this well? Hangouts, Messenger, and WhatsApp all work the same way as far as I can see. Is there are UX interaction that I'm missing?",Yes,Request closed as cleanup so it is considered as bug report - Developer do ask clairification question about a form of implementation,Yes ,Clean up*
27,Signal ,5874,Allow saving multiple images in a conversation,"I have:

- [x] searched open and closed issues for duplicates

- [x] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Feature Request

There was #5088 asking for multi-selecting images in ""All images"" and then saving them. It was closed without actually having multi-select & save implemented.

I am asking for multi-select images in a conversation and then save them.



### Steps to reproduce

- go to a conversation

- long press a picture message

- tap a second/third/... picture message



**Actual result:** No save button is shown.

**Expected result:** A save button should be shown and allow to save the selected images.",3,"

when this feature will be deployed?

Please [don't bump issues](https://github.com/WhisperSystems/Signal-Android/blob/master/CONTRIBUTING.md#dont-bump-issues)! To vote for an issue, feature or PR you can add a positive reaction (e.g. :+1:) to the initial comment.

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be to save multiple images from the a conversation,N/a,N/a,A commit was assigned to it and was closed as clean up which makes it as a bug report. ,Yes ,Clean up*
